"description_simple","month_yr","n"
"NSTEMI","2016-07",169
"NSTEMI","2016-08",180
"NSTEMI","2016-09",162
"NSTEMI","2016-10",182
"NSTEMI","2016-11",202
"NSTEMI","2016-12",213
"NSTEMI","2017-01",167
"NSTEMI","2017-02",174
"NSTEMI","2017-03",190
"NSTEMI","2017-04",193
"NSTEMI","2017-05",233
"NSTEMI","2017-06",267
"NSTEMI","2017-07",260
"NSTEMI","2017-08",217
"NSTEMI","2017-09",213
"NSTEMI","2017-10",239
"NSTEMI","2017-11",219
"NSTEMI","2017-12",219
"NSTEMI","2018-01",213
"NSTEMI","2018-02",202
"NSTEMI","2018-03",213
"NSTEMI","2018-04",194
"NSTEMI","2018-05",220
"NSTEMI","2018-06",197
"NSTEMI","2018-07",159
"NSTEMI","2018-08",204
"NSTEMI","2018-09",202
"NSTEMI","2018-10",212
"NSTEMI","2018-11",192
"NSTEMI","2018-12",212
"NSTEMI","2019-01",229
"NSTEMI","2019-02",205
"NSTEMI","2019-03",219
"NSTEMI","2019-04",208
"NSTEMI","2019-05",199
"NSTEMI","2019-06",234
"NSTEMI","2019-07",212
"NSTEMI","2019-08",228
"NSTEMI","2019-09",200
"NSTEMI","2019-10",224
"NSTEMI","2019-11",207
"NSTEMI","2019-12",212
"NSTEMI","2020-01",196
"NSTEMI","2020-02",198
"NSTEMI","2020-03",169
"NSTEMI","2020-04",116
"NSTEMI","2020-05",163
"NSTEMI","2020-06",175
"NSTEMI","2020-07",212
"NSTEMI","2020-08",210
"NSTEMI","2020-09",237
"NSTEMI","2020-10",203
"NSTEMI","2020-11",158
"NSTEMI","2020-12",182
"NSTEMI","2021-01",183
"NSTEMI","2021-02",189
"NSTEMI","2021-03",238
"NSTEMI","2021-04",198
"NSTEMI","2021-05",210
"NSTEMI","2021-06",193
"NSTEMI","2021-07",187
"NSTEMI","2021-08",182
"NSTEMI","2021-09",186
"NSTEMI","2021-10",186
"NSTEMI","2021-11",166
"NSTEMI","2021-12",184
"NSTEMI","2022-01",215
"NSTEMI","2022-02",195
"NSTEMI","2022-03",228
"NSTEMI","2022-04",220
"NSTEMI","2022-05",210
"NSTEMI","2022-06",213
"NSTEMI","2022-07",178
"NSTEMI","2022-08",183
"NSTEMI","2022-09",198
"NSTEMI","2022-10",212
"NSTEMI","2022-11",193
"NSTEMI","2022-12",212
"NSTEMI","2023-01",233
"NSTEMI","2023-02",212
"NSTEMI","2023-03",225
"NSTEMI","2023-04",198
"NSTEMI","2023-05",78
"STEMI","2016-07",41
"STEMI","2016-08",51
"STEMI","2016-09",35
"STEMI","2016-10",56
"STEMI","2016-11",46
"STEMI","2016-12",34
"STEMI","2017-01",51
"STEMI","2017-02",52
"STEMI","2017-03",57
"STEMI","2017-04",58
"STEMI","2017-05",67
"STEMI","2017-06",59
"STEMI","2017-07",48
"STEMI","2017-08",60
"STEMI","2017-09",65
"STEMI","2017-10",75
"STEMI","2017-11",62
"STEMI","2017-12",71
"STEMI","2018-01",72
"STEMI","2018-02",49
"STEMI","2018-03",55
"STEMI","2018-04",75
"STEMI","2018-05",73
"STEMI","2018-06",72
"STEMI","2018-07",71
"STEMI","2018-08",64
"STEMI","2018-09",68
"STEMI","2018-10",80
"STEMI","2018-11",77
"STEMI","2018-12",78
"STEMI","2019-01",67
"STEMI","2019-02",66
"STEMI","2019-03",82
"STEMI","2019-04",63
"STEMI","2019-05",75
"STEMI","2019-06",78
"STEMI","2019-07",70
"STEMI","2019-08",68
"STEMI","2019-09",81
"STEMI","2019-10",88
"STEMI","2019-11",80
"STEMI","2019-12",74
"STEMI","2020-01",67
"STEMI","2020-02",66
"STEMI","2020-03",62
"STEMI","2020-04",59
"STEMI","2020-05",78
"STEMI","2020-06",58
"STEMI","2020-07",87
"STEMI","2020-08",74
"STEMI","2020-09",78
"STEMI","2020-10",72
"STEMI","2020-11",83
"STEMI","2020-12",80
"STEMI","2021-01",86
"STEMI","2021-02",79
"STEMI","2021-03",83
"STEMI","2021-04",81
"STEMI","2021-05",89
"STEMI","2021-06",75
"STEMI","2021-07",86
"STEMI","2021-08",66
"STEMI","2021-09",56
"STEMI","2021-10",83
"STEMI","2021-11",63
"STEMI","2021-12",78
"STEMI","2022-01",73
"STEMI","2022-02",72
"STEMI","2022-03",72
"STEMI","2022-04",88
"STEMI","2022-05",75
"STEMI","2022-06",56
"STEMI","2022-07",66
"STEMI","2022-08",58
"STEMI","2022-09",54
"STEMI","2022-10",64
"STEMI","2022-11",52
"STEMI","2022-12",66
"STEMI","2023-01",74
"STEMI","2023-02",64
"STEMI","2023-03",75
"STEMI","2023-04",58
"STEMI","2023-05",25
"dilated_cardiomyopathy","2016-07",31
"dilated_cardiomyopathy","2016-08",37
"dilated_cardiomyopathy","2016-09",25
"dilated_cardiomyopathy","2016-10",25
"dilated_cardiomyopathy","2016-11",31
"dilated_cardiomyopathy","2016-12",36
"dilated_cardiomyopathy","2017-01",33
"dilated_cardiomyopathy","2017-02",37
"dilated_cardiomyopathy","2017-03",40
"dilated_cardiomyopathy","2017-04",28
"dilated_cardiomyopathy","2017-05",37
"dilated_cardiomyopathy","2017-06",26
"dilated_cardiomyopathy","2017-07",24
"dilated_cardiomyopathy","2017-08",20
"dilated_cardiomyopathy","2017-09",33
"dilated_cardiomyopathy","2017-10",37
"dilated_cardiomyopathy","2017-11",37
"dilated_cardiomyopathy","2017-12",24
"dilated_cardiomyopathy","2018-01",34
"dilated_cardiomyopathy","2018-02",34
"dilated_cardiomyopathy","2018-03",30
"dilated_cardiomyopathy","2018-04",33
"dilated_cardiomyopathy","2018-05",34
"dilated_cardiomyopathy","2018-06",50
"dilated_cardiomyopathy","2018-07",28
"dilated_cardiomyopathy","2018-08",33
"dilated_cardiomyopathy","2018-09",34
"dilated_cardiomyopathy","2018-10",50
"dilated_cardiomyopathy","2018-11",28
"dilated_cardiomyopathy","2018-12",35
"dilated_cardiomyopathy","2019-01",26
"dilated_cardiomyopathy","2019-02",32
"dilated_cardiomyopathy","2019-03",46
"dilated_cardiomyopathy","2019-04",40
"dilated_cardiomyopathy","2019-05",36
"dilated_cardiomyopathy","2019-06",45
"dilated_cardiomyopathy","2019-07",29
"dilated_cardiomyopathy","2019-08",31
"dilated_cardiomyopathy","2019-09",35
"dilated_cardiomyopathy","2019-10",47
"dilated_cardiomyopathy","2019-11",47
"dilated_cardiomyopathy","2019-12",47
"dilated_cardiomyopathy","2020-01",41
"dilated_cardiomyopathy","2020-02",41
"dilated_cardiomyopathy","2020-03",31
"dilated_cardiomyopathy","2020-04",12
"dilated_cardiomyopathy","2020-05",30
"dilated_cardiomyopathy","2020-06",22
"dilated_cardiomyopathy","2020-07",28
"dilated_cardiomyopathy","2020-08",34
"dilated_cardiomyopathy","2020-09",43
"dilated_cardiomyopathy","2020-10",33
"dilated_cardiomyopathy","2020-11",28
"dilated_cardiomyopathy","2020-12",27
"dilated_cardiomyopathy","2021-01",27
"dilated_cardiomyopathy","2021-02",32
"dilated_cardiomyopathy","2021-03",36
"dilated_cardiomyopathy","2021-04",31
"dilated_cardiomyopathy","2021-05",36
"dilated_cardiomyopathy","2021-06",48
"dilated_cardiomyopathy","2021-07",33
"dilated_cardiomyopathy","2021-08",33
"dilated_cardiomyopathy","2021-09",41
"dilated_cardiomyopathy","2021-10",37
"dilated_cardiomyopathy","2021-11",37
"dilated_cardiomyopathy","2021-12",45
"dilated_cardiomyopathy","2022-01",34
"dilated_cardiomyopathy","2022-02",40
"dilated_cardiomyopathy","2022-03",44
"dilated_cardiomyopathy","2022-04",39
"dilated_cardiomyopathy","2022-05",39
"dilated_cardiomyopathy","2022-06",44
"dilated_cardiomyopathy","2022-07",40
"dilated_cardiomyopathy","2022-08",38
"dilated_cardiomyopathy","2022-09",36
"dilated_cardiomyopathy","2022-10",41
"dilated_cardiomyopathy","2022-11",50
"dilated_cardiomyopathy","2022-12",37
"dilated_cardiomyopathy","2023-01",46
"dilated_cardiomyopathy","2023-02",56
"dilated_cardiomyopathy","2023-03",35
"dilated_cardiomyopathy","2023-04",37
"dilated_cardiomyopathy","2023-05",25
"hypertrophic_cardiomyopathy","2016-07",15
"hypertrophic_cardiomyopathy","2016-08",12
"hypertrophic_cardiomyopathy","2016-09",23
"hypertrophic_cardiomyopathy","2016-10",20
"hypertrophic_cardiomyopathy","2016-11",16
"hypertrophic_cardiomyopathy","2016-12",11
"hypertrophic_cardiomyopathy","2017-01",13
"hypertrophic_cardiomyopathy","2017-02",16
"hypertrophic_cardiomyopathy","2017-03",22
"hypertrophic_cardiomyopathy","2017-04",21
"hypertrophic_cardiomyopathy","2017-05",12
"hypertrophic_cardiomyopathy","2017-06",17
"hypertrophic_cardiomyopathy","2017-07",14
"hypertrophic_cardiomyopathy","2017-08",15
"hypertrophic_cardiomyopathy","2017-09",11
"hypertrophic_cardiomyopathy","2017-10",15
"hypertrophic_cardiomyopathy","2017-11",17
"hypertrophic_cardiomyopathy","2017-12",22
"hypertrophic_cardiomyopathy","2018-01",17
"hypertrophic_cardiomyopathy","2018-02",18
"hypertrophic_cardiomyopathy","2018-03",11
"hypertrophic_cardiomyopathy","2018-04",16
"hypertrophic_cardiomyopathy","2018-05",20
"hypertrophic_cardiomyopathy","2018-06",26
"hypertrophic_cardiomyopathy","2018-07",20
"hypertrophic_cardiomyopathy","2018-08",18
"hypertrophic_cardiomyopathy","2018-09",23
"hypertrophic_cardiomyopathy","2018-10",30
