"diagnosis","count","description","description_simple","group"
"I200",4749,"Unstable angina","NSTEMI","acs"
"I210",2037,"Anterior transmural MI (STEMI)","STEMI","acs"
"I211",2631,"Inferior transmural MI (STEMI)","STEMI","acs"
"I212",396,"Other transmural MI (STEMI)","STEMI","acs"
"I213",523,"Unspecified transmural MI (STEMI)","STEMI","acs"
"I214",8960,"NSTEMI, subendocardial MI (NSTEMI)","NSTEMI","acs"
"I219",1187,"MI, unspecified","NSTEMI","acs"
"I220",22,"Subsequent Anterior transmural MI (STEMI within 4 weeks of another MI)","STEMI","acs"
"I221",18,"Subsequent Inferior transmural MI  (STEMI within 4 weeks of another MI)","STEMI","acs"
"I228",14,"Subsequent STEMI of other site (STEMI within 4 weeks of another MI)","STEMI","acs"
"I229",72,"Subsequent NSTEMI of other site (NSTEMI within 4 weeks of another MI)","NSTEMI","acs"
"I248",37,"Other acute ischaemic heart disease","NSTEMI","acs"
"I249",2987,"Unspecified acute ischaemic heart disease","NSTEMI","acs"
"I251",43433,"Atherosclerotic heart disease","ischaemic_cardiomyopathy","cardiomyopathy"
"I252",69971,"Old MI","ischaemic_cardiomyopathy","cardiomyopathy"
"I255",1586,"Ischaemic cardiomyopathy","ischaemic_cardiomyopathy","cardiomyopathy"
"I256",14,"Silent myocardial ischemia","ischaemic_cardiomyopathy","cardiomyopathy"
"I258",1036,"Other forms of chronic ischaemic heart disease","ischaemic_cardiomyopathy","cardiomyopathy"
"I259",56478,"Chronic ischaemic heart disease, unspecified","ischaemic_cardiomyopathy","cardiomyopathy"
"I300",7,"Acute nonspecific idiopathic pericarditis","pericarditis","pericarditis"
"I301",88,"Infective pericarditis","pericarditis","pericarditis"
"I308",6,"Other forms of acute pericarditis","pericarditis","pericarditis"
"I309",235,"Acute pericarditis unspecified","pericarditis","pericarditis"
"I400",76,"Infective myocarditis","myocarditis","myocarditis"
"I408",11,"Other acute myocarditis","myocarditis","myocarditis"
"I409",73,"Acute myocarditis unspecified","myocarditis","myocarditis"
"I410",1,"Myocarditis in bacterial diseases classified elsewhere","myocarditis","myocarditis"
"I411",6,"Myocarditis in viral diseases classified elsewhere","myocarditis","myocarditis"
"I418",4,"Myocarditis in other diseases classified elsewhere","myocarditis","myocarditis"
"I420",2932,"Dilated cardiomyopathy","dilated_cardiomyopathy","cardiomyopathy"
"I421",650,"Obstructive hypertrophic cardiomyopathy","hypertrophic_cardiomyopathy","cardiomyopathy"
"I422",1012,"Other hypertrophic czrdiomyopathy","hypertrophic_cardiomyopathy","cardiomyopathy"
"I423",2,"Endomyocardial (eosinophilic) disease","other_cardiomyopathy","cardiomyopathy"
"I424",46,"Endocardial fibroelastosis, Congenital cardiomyopathy","other_cardiomyopathy","cardiomyopathy"
"I425",41,"Other restrictive cardiomyopathy","other_cardiomyopathy","cardiomyopathy"
"I426",215,"Alcoholic cardiomyopathy","other_cardiomyopathy","cardiomyopathy"
"I427",85,"Cardiomyopathy due to drugs and other external agents","other_cardiomyopathy","cardiomyopathy"
"I428",672,"Other cardiomyopathies","other_cardiomyopathy","cardiomyopathy"
"I429",2019,"Cardiomyopathy, unspecified","other_cardiomyopathy","cardiomyopathy"
"I430",13,"Cardiomyopathy specified elsewhere","other_cardiomyopathy","cardiomyopathy"
"I431",347,"Cardiomyopathy in metabolic diseases (Cardiac amyloidosis)","other_cardiomyopathy","cardiomyopathy"
"I514",303,"Myocarditis, unspecified","myocarditis","myocarditis"
"I518",8317,"Other ill-defined heart diseases - Carditis (acute)(chronic) - Pancarditis (acute)(chronic) maybe Takotsubo","myocarditis_takotsubo","myocarditis"
