"group","month_yr","n"
"acs","2016-07",148
"acs","2016-08",136
"acs","2016-09",137
"acs","2016-10",159
"acs","2016-11",178
"acs","2016-12",150
"acs","2017-01",142
"acs","2017-02",149
"acs","2017-03",159
"acs","2017-04",168
"acs","2017-05",207
"acs","2017-06",196
"acs","2017-07",176
"acs","2017-08",157
"acs","2017-09",186
"acs","2017-10",193
"acs","2017-11",169
"acs","2017-12",198
"acs","2018-01",199
"acs","2018-02",166
"acs","2018-03",183
"acs","2018-04",199
"acs","2018-05",199
"acs","2018-06",187
"acs","2018-07",167
"acs","2018-08",186
"acs","2018-09",188
"acs","2018-10",205
"acs","2018-11",179
"acs","2018-12",189
"acs","2019-01",203
"acs","2019-02",188
"acs","2019-03",202
"acs","2019-04",187
"acs","2019-05",194
"acs","2019-06",223
"acs","2019-07",192
"acs","2019-08",219
"acs","2019-09",215
"acs","2019-10",216
"acs","2019-11",211
"acs","2019-12",193
"acs","2020-01",177
"acs","2020-02",164
"acs","2020-03",155
"acs","2020-04",124
"acs","2020-05",174
"acs","2020-06",154
"acs","2020-07",203
"acs","2020-08",199
"acs","2020-09",217
"acs","2020-10",187
"acs","2020-11",169
"acs","2020-12",178
"acs","2021-01",178
"acs","2021-02",197
"acs","2021-03",221
"acs","2021-04",186
"acs","2021-05",213
"acs","2021-06",197
"acs","2021-07",192
"acs","2021-08",178
"acs","2021-09",165
"acs","2021-10",186
"acs","2021-11",159
"acs","2021-12",182
"acs","2022-01",201
"acs","2022-02",191
"acs","2022-03",202
"acs","2022-04",209
"acs","2022-05",188
"acs","2022-06",185
"acs","2022-07",167
"acs","2022-08",164
"acs","2022-09",160
"acs","2022-10",171
"acs","2022-11",166
"acs","2022-12",178
"acs","2023-01",211
"acs","2023-02",187
"acs","2023-03",201
"acs","2023-04",180
"acs","2023-05",69
"cardiomyopathy","2016-07",184
"cardiomyopathy","2016-08",177
"cardiomyopathy","2016-09",185
"cardiomyopathy","2016-10",192
"cardiomyopathy","2016-11",207
"cardiomyopathy","2016-12",175
"cardiomyopathy","2017-01",195
"cardiomyopathy","2017-02",179
"cardiomyopathy","2017-03",183
"cardiomyopathy","2017-04",175
"cardiomyopathy","2017-05",192
"cardiomyopathy","2017-06",215
"cardiomyopathy","2017-07",176
"cardiomyopathy","2017-08",213
"cardiomyopathy","2017-09",161
"cardiomyopathy","2017-10",174
"cardiomyopathy","2017-11",176
"cardiomyopathy","2017-12",137
"cardiomyopathy","2018-01",174
"cardiomyopathy","2018-02",157
"cardiomyopathy","2018-03",138
"cardiomyopathy","2018-04",155
"cardiomyopathy","2018-05",162
"cardiomyopathy","2018-06",185
"cardiomyopathy","2018-07",153
"cardiomyopathy","2018-08",172
"cardiomyopathy","2018-09",143
"cardiomyopathy","2018-10",197
"cardiomyopathy","2018-11",140
"cardiomyopathy","2018-12",135
"cardiomyopathy","2019-01",159
"cardiomyopathy","2019-02",147
"cardiomyopathy","2019-03",159
"cardiomyopathy","2019-04",155
"cardiomyopathy","2019-05",137
"cardiomyopathy","2019-06",152
"cardiomyopathy","2019-07",154
"cardiomyopathy","2019-08",136
"cardiomyopathy","2019-09",164
"cardiomyopathy","2019-10",159
"cardiomyopathy","2019-11",170
"cardiomyopathy","2019-12",146
"cardiomyopathy","2020-01",175
"cardiomyopathy","2020-02",164
"cardiomyopathy","2020-03",133
"cardiomyopathy","2020-04",54
"cardiomyopathy","2020-05",77
"cardiomyopathy","2020-06",112
"cardiomyopathy","2020-07",128
"cardiomyopathy","2020-08",137
"cardiomyopathy","2020-09",130
"cardiomyopathy","2020-10",145
"cardiomyopathy","2020-11",141
"cardiomyopathy","2020-12",117
"cardiomyopathy","2021-01",106
"cardiomyopathy","2021-02",117
"cardiomyopathy","2021-03",163
"cardiomyopathy","2021-04",145
"cardiomyopathy","2021-05",136
"cardiomyopathy","2021-06",144
"cardiomyopathy","2021-07",146
"cardiomyopathy","2021-08",127
"cardiomyopathy","2021-09",154
"cardiomyopathy","2021-10",156
"cardiomyopathy","2021-11",158
"cardiomyopathy","2021-12",132
"cardiomyopathy","2022-01",127
"cardiomyopathy","2022-02",118
"cardiomyopathy","2022-03",142
"cardiomyopathy","2022-04",116
"cardiomyopathy","2022-05",115
"cardiomyopathy","2022-06",112
"cardiomyopathy","2022-07",104
"cardiomyopathy","2022-08",119
"cardiomyopathy","2022-09",159
"cardiomyopathy","2022-10",165
"cardiomyopathy","2022-11",146
"cardiomyopathy","2022-12",110
"cardiomyopathy","2023-01",141
"cardiomyopathy","2023-02",138
"cardiomyopathy","2023-03",155
"cardiomyopathy","2023-04",130
"cardiomyopathy","2023-05",82
"myocarditis","2016-07",2
"myocarditis","2016-08",1
"myocarditis","2016-09",2
"myocarditis","2016-10",3
"myocarditis","2016-11",2
"myocarditis","2016-12",2
"myocarditis","2017-01",1
"myocarditis","2017-02",2
"myocarditis","2017-03",4
"myocarditis","2017-04",1
"myocarditis","2017-05",4
"myocarditis","2017-06",2
"myocarditis","2017-07",5
"myocarditis","2017-08",3
"myocarditis","2017-09",7
"myocarditis","2017-10",7
"myocarditis","2017-11",7
"myocarditis","2017-12",5
"myocarditis","2018-01",3
"myocarditis","2018-02",3
"myocarditis","2018-03",10
"myocarditis","2018-05",7
"myocarditis","2018-06",3
"myocarditis","2018-07",9
"myocarditis","2018-08",5
"myocarditis","2018-09",2
"myocarditis","2018-10",6
"myocarditis","2018-11",6
"myocarditis","2018-12",6
"myocarditis","2019-01",5
"myocarditis","2019-02",4
"myocarditis","2019-03",4
"myocarditis","2019-04",1
"myocarditis","2019-05",3
"myocarditis","2019-06",3
"myocarditis","2019-07",4
"myocarditis","2019-08",3
"myocarditis","2019-09",4
"myocarditis","2019-10",8
"myocarditis","2019-11",6
"myocarditis","2019-12",4
"myocarditis","2020-01",3
"myocarditis","2020-02",2
"myocarditis","2020-03",4
"myocarditis","2020-04",2
"myocarditis","2020-05",7
"myocarditis","2020-06",4
"myocarditis","2020-07",2
"myocarditis","2020-08",7
"myocarditis","2020-09",5
"myocarditis","2020-10",6
"myocarditis","2020-11",5
"myocarditis","2020-12",3
"myocarditis","2021-01",6
"myocarditis","2021-02",4
"myocarditis","2021-03",5
"myocarditis","2021-04",7
"myocarditis","2021-05",2
"myocarditis","2021-06",8
"myocarditis","2021-07",7
"myocarditis","2021-08",4
"myocarditis","2021-09",4
"myocarditis","2021-10",7
"myocarditis","2021-11",5
"myocarditis","2021-12",9
"myocarditis","2022-01",8
"myocarditis","2022-02",10
"myocarditis","2022-03",4
"myocarditis","2022-04",5
"myocarditis","2022-05",6
"myocarditis","2022-06",2
"myocarditis","2022-07",8
"myocarditis","2022-08",4
"myocarditis","2022-09",2
"myocarditis","2022-10",7
"myocarditis","2022-11",6
"myocarditis","2022-12",7
"myocarditis","2023-01",8
"myocarditis","2023-02",6
"myocarditis","2023-03",8
"myocarditis","2023-04",2
"myocarditis","2023-05",2
"pericarditis","2016-07",1
"pericarditis","2016-08",3
"pericarditis","2016-11",1
"pericarditis","2016-12",3
"pericarditis","2017-01",1
"pericarditis","2017-02",1
"pericarditis","2017-04",1
"pericarditis","2017-05",1
"pericarditis","2017-07",3
"pericarditis","2017-08",1
"pericarditis","2017-10",2
"pericarditis","2017-11",1
"pericarditis","2017-12",1
"pericarditis","2018-02",2
"pericarditis","2018-03",2
"pericarditis","2018-04",1
"pericarditis","2018-05",5
"pericarditis","2018-06",4
"pericarditis","2018-07",3
"pericarditis","2018-08",3
"pericarditis","2018-09",2
"pericarditis","2018-10",5
"pericarditis","2018-11",2
"pericarditis","2018-12",2
"pericarditis","2019-01",4
"pericarditis","2019-02",3
"pericarditis","2019-03",1
"pericarditis","2019-06",4
"pericarditis","2019-08",1
"pericarditis","2019-09",3
"pericarditis","2019-10",2
"pericarditis","2019-11",8
"pericarditis","2019-12",5
"pericarditis","2020-01",3
"pericarditis","2020-02",3
"pericarditis","2020-03",3
"pericarditis","2020-04",5
"pericarditis","2020-05",5
"pericarditis","2020-06",7
"pericarditis","2020-07",8
"pericarditis","2020-08",3
"pericarditis","2020-09",3
"pericarditis","2020-10",3
