"group","month_yr","n"
"acs","2016-07",148
"acs","2016-08",136
"acs","2016-09",137
"acs","2016-10",159
"acs","2016-11",178
"acs","2016-12",150
"acs","2017-01",142
"acs","2017-02",149
"acs","2017-03",159
"acs","2017-04",168
"acs","2017-05",207
"acs","2017-06",196
"acs","2017-07",176
"acs","2017-08",157
"acs","2017-09",186
"acs","2017-10",193
"acs","2017-11",169
"acs","2017-12",198
"acs","2018-01",199
"acs","2018-02",166
"acs","2018-03",183
"acs","2018-04",199
"acs","2018-05",199
"acs","2018-06",187
"acs","2018-07",167
"acs","2018-08",186
"acs","2018-09",188
"acs","2018-10",205
"acs","2018-11",179
"acs","2018-12",189
"acs","2019-01",203
"acs","2019-02",188
"acs","2019-03",202
"acs","2019-04",187
"acs","2019-05",194
"acs","2019-06",223
"acs","2019-07",192
"acs","2019-08",219
"acs","2019-09",215
"acs","2019-10",216
"acs","2019-11",211
"acs","2019-12",193
"acs","2020-01",177
"acs","2020-02",164
"acs","2020-03",155
"acs","2020-04",124
"acs","2020-05",174
"acs","2020-06",154
"acs","2020-07",203
"acs","2020-08",199
"acs","2020-09",217
"acs","2020-10",187
"acs","2020-11",169
"acs","2020-12",178
"acs","2021-01",178
"acs","2021-02",197
"acs","2021-03",221
"acs","2021-04",186
"acs","2021-05",213
"acs","2021-06",197
"acs","2021-07",192
"acs","2021-08",178
"acs","2021-09",165
"acs","2021-10",186
"acs","2021-11",159
"acs","2021-12",182
"acs","2022-01",201
"acs","2022-02",191
"acs","2022-03",202
"acs","2022-04",209
"acs","2022-05",188
"acs","2022-06",185
"acs","2022-07",167
"acs","2022-08",164
"acs","2022-09",160
"acs","2022-10",171
"acs","2022-11",166
"acs","2022-12",178
"acs","2023-01",211
"acs","2023-02",187
"acs","2023-03",201
"acs","2023-04",180
"acs","2023-05",69
"cardiomyopathy","2016-07",185
"cardiomyopathy","2016-08",177
"cardiomyopathy","2016-09",186
"cardiomyopathy","2016-10",194
"cardiomyopathy","2016-11",207
"cardiomyopathy","2016-12",175
"cardiomyopathy","2017-01",195
"cardiomyopathy","2017-02",180
"cardiomyopathy","2017-03",185
"cardiomyopathy","2017-04",175
"cardiomyopathy","2017-05",193
"cardiomyopathy","2017-06",216
"cardiomyopathy","2017-07",179
"cardiomyopathy","2017-08",215
"cardiomyopathy","2017-09",164
"cardiomyopathy","2017-10",176
"cardiomyopathy","2017-11",179
"cardiomyopathy","2017-12",140
"cardiomyopathy","2018-01",175
"cardiomyopathy","2018-02",160
"cardiomyopathy","2018-03",144
"cardiomyopathy","2018-04",155
"cardiomyopathy","2018-05",166
"cardiomyopathy","2018-06",185
"cardiomyopathy","2018-07",156
"cardiomyopathy","2018-08",173
"cardiomyopathy","2018-09",143
"cardiomyopathy","2018-10",201
"cardiomyopathy","2018-11",144
"cardiomyopathy","2018-12",137
"cardiomyopathy","2019-01",161
"cardiomyopathy","2019-02",148
"cardiomyopathy","2019-03",163
"cardiomyopathy","2019-04",155
"cardiomyopathy","2019-05",138
"cardiomyopathy","2019-06",155
"cardiomyopathy","2019-07",155
"cardiomyopathy","2019-08",137
"cardiomyopathy","2019-09",165
"cardiomyopathy","2019-10",163
"cardiomyopathy","2019-11",171
"cardiomyopathy","2019-12",147
"cardiomyopathy","2020-01",176
"cardiomyopathy","2020-02",164
"cardiomyopathy","2020-03",134
"cardiomyopathy","2020-04",54
"cardiomyopathy","2020-05",79
"cardiomyopathy","2020-06",112
"cardiomyopathy","2020-07",128
"cardiomyopathy","2020-08",142
"cardiomyopathy","2020-09",132
"cardiomyopathy","2020-10",149
"cardiomyopathy","2020-11",144
"cardiomyopathy","2020-12",117
"cardiomyopathy","2021-01",108
"cardiomyopathy","2021-02",118
"cardiomyopathy","2021-03",166
"cardiomyopathy","2021-04",150
"cardiomyopathy","2021-05",136
"cardiomyopathy","2021-06",149
"cardiomyopathy","2021-07",148
"cardiomyopathy","2021-08",128
"cardiomyopathy","2021-09",154
"cardiomyopathy","2021-10",160
"cardiomyopathy","2021-11",161
"cardiomyopathy","2021-12",137
"cardiomyopathy","2022-01",129
"cardiomyopathy","2022-02",121
"cardiomyopathy","2022-03",143
"cardiomyopathy","2022-04",116
"cardiomyopathy","2022-05",119
"cardiomyopathy","2022-06",113
"cardiomyopathy","2022-07",104
"cardiomyopathy","2022-08",120
"cardiomyopathy","2022-09",160
"cardiomyopathy","2022-10",167
"cardiomyopathy","2022-11",149
"cardiomyopathy","2022-12",111
"cardiomyopathy","2023-01",147
"cardiomyopathy","2023-02",140
"cardiomyopathy","2023-03",157
"cardiomyopathy","2023-04",130
"cardiomyopathy","2023-05",83
"covid","2019-09",1
"covid","2020-01",3
"covid","2020-02",5
"covid","2020-03",139
"covid","2020-04",244
"covid","2020-05",70
"covid","2020-06",11
"covid","2020-07",2
"covid","2020-08",4
"covid","2020-09",20
"covid","2020-10",157
"covid","2020-11",359
"covid","2020-12",259
"covid","2021-01",662
"covid","2021-02",237
"covid","2021-03",58
"covid","2021-04",17
"covid","2021-05",2
"covid","2021-06",22
"covid","2021-07",183
"covid","2021-08",183
"covid","2021-09",195
"covid","2021-10",230
"covid","2021-11",194
"covid","2021-12",233
"covid","2022-01",231
"covid","2022-02",151
"covid","2022-03",174
"covid","2022-04",96
"covid","2022-05",37
"covid","2022-06",74
"covid","2022-07",105
"covid","2022-08",58
"covid","2022-09",63
"covid","2022-10",98
"covid","2022-11",43
"covid","2022-12",91
"covid","2023-01",44
"covid","2023-02",34
"covid","2023-03",75
"covid","2023-04",45
"covid","2023-05",18
"myocarditis","2016-07",1
"myocarditis","2016-08",1
"myocarditis","2016-09",1
"myocarditis","2016-10",1
"myocarditis","2016-11",2
"myocarditis","2016-12",2
"myocarditis","2017-02",1
"myocarditis","2017-03",2
"myocarditis","2017-04",1
"myocarditis","2017-05",3
"myocarditis","2017-06",1
"myocarditis","2017-07",2
"myocarditis","2017-08",1
"myocarditis","2017-09",4
"myocarditis","2017-10",5
"myocarditis","2017-11",3
"myocarditis","2017-12",2
"myocarditis","2018-01",2
"myocarditis","2018-03",4
"myocarditis","2018-05",3
"myocarditis","2018-06",3
"myocarditis","2018-07",6
"myocarditis","2018-08",4
"myocarditis","2018-09",2
"myocarditis","2018-10",2
"myocarditis","2018-11",2
"myocarditis","2018-12",4
"myocarditis","2019-01",3
"myocarditis","2019-02",3
"myocarditis","2019-04",1
"myocarditis","2019-05",2
"myocarditis","2019-07",3
"myocarditis","2019-08",2
"myocarditis","2019-09",3
"myocarditis","2019-10",4
"myocarditis","2019-11",5
"myocarditis","2019-12",3
"myocarditis","2020-01",2
"myocarditis","2020-02",2
"myocarditis","2020-03",3
"myocarditis","2020-04",2
"myocarditis","2020-05",5
"myocarditis","2020-06",4
"myocarditis","2020-07",2
"myocarditis","2020-08",2
"myocarditis","2020-09",3
"myocarditis","2020-10",2
"myocarditis","2020-11",2
"myocarditis","2020-12",3
"myocarditis","2021-01",4
"myocarditis","2021-02",3
"myocarditis","2021-03",2
"myocarditis","2021-04",2
"myocarditis","2021-05",2
"myocarditis","2021-06",3
"myocarditis","2021-07",5
"myocarditis","2021-08",3
"myocarditis","2021-09",4
"myocarditis","2021-10",3
"myocarditis","2021-11",2
"myocarditis","2021-12",4
"myocarditis","2022-01",6
"myocarditis","2022-02",7
"myocarditis","2022-03",3
"myocarditis","2022-04",5
"myocarditis","2022-05",2
"myocarditis","2022-06",1
"myocarditis","2022-07",8
"myocarditis","2022-08",3
"myocarditis","2022-09",1
"myocarditis","2022-10",5
"myocarditis","2022-11",3
"myocarditis","2022-12",6
"myocarditis","2023-01",1
"myocarditis","2023-02",4
"myocarditis","2023-03",6
"myocarditis","2023-04",2
"myocarditis","2023-05",1
"pericarditis","2016-07",1
"pericarditis","2016-08",3
"pericarditis","2016-11",1
"pericarditis","2016-12",3
"pericarditis","2017-01",1
"pericarditis","2017-02",1
"pericarditis","2017-04",1
"pericarditis","2017-05",1
"pericarditis","2017-07",3
"pericarditis","2017-08",1
"pericarditis","2017-10",2
"pericarditis","2017-11",1
"pericarditis","2017-12",1
"pericarditis","2018-02",2
