icd_codes,description,group
D66,Hereditary factor VIII deficiency,bleeding diathesis
D660,Hereditary factor VIII deficiency,bleeding diathesis
D67,Hereditary factor IX deficiency,bleeding diathesis
D670,Hereditary factor IX deficiency,bleeding diathesis
D68,Other coagulation defects,bleeding diathesis
D680,Von Willebrand disease,bleeding diathesis
D681,Hereditary factor XI deficiency,bleeding diathesis
D682,Hereditary deficiency of other clotting factors,bleeding diathesis
D685,Primary thrombophilia,bleeding diathesis
D686,Other thrombophilia,bleeding diathesis
D688,Other specified coagulation defects,bleeding diathesis
D689,"Coagulation defect, unspecified",bleeding diathesis
D691,Qualitative platelet defects,bleeding diathesis
D692,Other nonthrombocytopenic purpura,bleeding diathesis
D698,Other specified haemorrhagic conditions,bleeding diathesis
D699,"Haemorrhagic condition, unspecified",bleeding diathesis
