icd_codes,description,group
C000,,cancer
C001,,cancer
C002,,cancer
C003,,cancer
C004,,cancer
C005,,cancer
C006,,cancer
C007,,cancer
C008,,cancer
C009,,cancer
C010,,cancer
C011,,cancer
C012,,cancer
C013,,cancer
C014,,cancer
C015,,cancer
C016,,cancer
C017,,cancer
C018,,cancer
C019,,cancer
C020,,cancer
C021,,cancer
C022,,cancer
C023,,cancer
C024,,cancer
C025,,cancer
C026,,cancer
C027,,cancer
C028,,cancer
C029,,cancer
C030,,cancer
C031,,cancer
C032,,cancer
C033,,cancer
C034,,cancer
C035,,cancer
C036,,cancer
C037,,cancer
C038,,cancer
C039,,cancer
C040,,cancer
C041,,cancer
C042,,cancer
C043,,cancer
C044,,cancer
C045,,cancer
C046,,cancer
C047,,cancer
C048,,cancer
C049,,cancer
C050,,cancer
C051,,cancer
C052,,cancer
C053,,cancer
C054,,cancer
C055,,cancer
C056,,cancer
C057,,cancer
C058,,cancer
C059,,cancer
C060,,cancer
C061,,cancer
C062,,cancer
C063,,cancer
C064,,cancer
C065,,cancer
C066,,cancer
C067,,cancer
C068,,cancer
C069,,cancer
C070,,cancer
C071,,cancer
C072,,cancer
C073,,cancer
C074,,cancer
C075,,cancer
C076,,cancer
C077,,cancer
C078,,cancer
C079,,cancer
C080,,cancer
C081,,cancer
C082,,cancer
C083,,cancer
C084,,cancer
C085,,cancer
C086,,cancer
C087,,cancer
C088,,cancer
C089,,cancer
C090,,cancer
C091,,cancer
C092,,cancer
C093,,cancer
C094,,cancer
C095,,cancer
C096,,cancer
C097,,cancer
C098,,cancer
C099,,cancer
C100,,cancer
C101,,cancer
C102,,cancer
C103,,cancer
C104,,cancer
C105,,cancer
C106,,cancer
C107,,cancer
C108,,cancer
C109,,cancer
C110,,cancer
C111,,cancer
C112,,cancer
C113,,cancer
C114,,cancer
C115,,cancer
C116,,cancer
C117,,cancer
C118,,cancer
C119,,cancer
C120,,cancer
C121,,cancer
C122,,cancer
C123,,cancer
C124,,cancer
C125,,cancer
C126,,cancer
C127,,cancer
C128,,cancer
C129,,cancer
C130,,cancer
C131,,cancer
C132,,cancer
C133,,cancer
C134,,cancer
C135,,cancer
C136,,cancer
C137,,cancer
C138,,cancer
C139,,cancer
C140,,cancer
C141,,cancer
C142,,cancer
C143,,cancer
C144,,cancer
C145,,cancer
C146,,cancer
C147,,cancer
C148,,cancer
C149,,cancer
C150,,cancer
C151,,cancer
C152,,cancer
C153,,cancer
C154,,cancer
C155,,cancer
C156,,cancer
C157,,cancer
C158,,cancer
C159,,cancer
C160,,cancer
C161,,cancer
C162,,cancer
C163,,cancer
C164,,cancer
C165,,cancer
C166,,cancer
C167,,cancer
C168,,cancer
C169,,cancer
C170,,cancer
C171,,cancer
C172,,cancer
C173,,cancer
C174,,cancer
C175,,cancer
C176,,cancer
C177,,cancer
C178,,cancer
C179,,cancer
C180,,cancer
C181,,cancer
C182,,cancer
C183,,cancer
C184,,cancer
C185,,cancer
C186,,cancer
C187,,cancer
C188,,cancer
C189,,cancer
C190,,cancer
C191,,cancer
C192,,cancer
C193,,cancer
C194,,cancer
C195,,cancer
C196,,cancer
C197,,cancer
C198,,cancer
C199,,cancer
C200,,cancer
C201,,cancer
C202,,cancer
C203,,cancer
C204,,cancer
C205,,cancer
C206,,cancer
C207,,cancer
C208,,cancer
C209,,cancer
C210,,cancer
C211,,cancer
C212,,cancer
C213,,cancer
C214,,cancer
C215,,cancer
C216,,cancer
C217,,cancer
C218,,cancer
C219,,cancer
C220,,cancer
C221,,cancer
C222,,cancer
C223,,cancer
C224,,cancer
C225,,cancer
C226,,cancer
C227,,cancer
C228,,cancer
C229,,cancer
C230,,cancer
C231,,cancer
C232,,cancer
C233,,cancer
C234,,cancer
C235,,cancer
C236,,cancer
C237,,cancer
C238,,cancer
C239,,cancer
C240,,cancer
C241,,cancer
C242,,cancer
C243,,cancer
C244,,cancer
C245,,cancer
C246,,cancer
C247,,cancer
C248,,cancer
C249,,cancer
C250,,cancer
C251,,cancer
C252,,cancer
C253,,cancer
C254,,cancer
C255,,cancer
C256,,cancer
C257,,cancer
C258,,cancer
C259,,cancer
C260,,cancer
C261,,cancer
C262,,cancer
C263,,cancer
C264,,cancer
C265,,cancer
C266,,cancer
C267,,cancer
C268,,cancer
C269,,cancer
C270,,cancer
C271,,cancer
C272,,cancer
C273,,cancer
C274,,cancer
C275,,cancer
C276,,cancer
C277,,cancer
C278,,cancer
C279,,cancer
C280,,cancer
C281,,cancer
C282,,cancer
C283,,cancer
C284,,cancer
C285,,cancer
C286,,cancer
C287,,cancer
C288,,cancer
C289,,cancer
C290,,cancer
C291,,cancer
C292,,cancer
C293,,cancer
C294,,cancer
C295,,cancer
C296,,cancer
C297,,cancer
C298,,cancer
C299,,cancer
C300,,cancer
C301,,cancer
C302,,cancer
C303,,cancer
C304,,cancer
C305,,cancer
C306,,cancer
C307,,cancer
C308,,cancer
C309,,cancer
C310,,cancer
C311,,cancer
C312,,cancer
C313,,cancer
C314,,cancer
C315,,cancer
C316,,cancer
C317,,cancer
C318,,cancer
C319,,cancer
C320,,cancer
C321,,cancer
C322,,cancer
C323,,cancer
C324,,cancer
C325,,cancer
C326,,cancer
C327,,cancer
C328,,cancer
C329,,cancer
C330,,cancer
C331,,cancer
C332,,cancer
C333,,cancer
C334,,cancer
C335,,cancer
C336,,cancer
C337,,cancer
C338,,cancer
C339,,cancer
C340,,cancer
C341,,cancer
C342,,cancer
C343,,cancer
C344,,cancer
C345,,cancer
C346,,cancer
C347,,cancer
C348,,cancer
C349,,cancer
C350,,cancer
C351,,cancer
C352,,cancer
C353,,cancer
C354,,cancer
C355,,cancer
C356,,cancer
C357,,cancer
C358,,cancer
C359,,cancer
C360,,cancer
C361,,cancer
C362,,cancer
C363,,cancer
C364,,cancer
C365,,cancer
C366,,cancer
C367,,cancer
C368,,cancer
C369,,cancer
C370,,cancer
C371,,cancer
C372,,cancer
C373,,cancer
C374,,cancer
C375,,cancer
C376,,cancer
C377,,cancer
C378,,cancer
C379,,cancer
C380,,cancer
C381,,cancer
C382,,cancer
C383,,cancer
C384,,cancer
C385,,cancer
C386,,cancer
C387,,cancer
C388,,cancer
C389,,cancer
C390,,cancer
C391,,cancer
C392,,cancer
C393,,cancer
C394,,cancer
C395,,cancer
C396,,cancer
C397,,cancer
C398,,cancer
C399,,cancer
C400,,cancer
C401,,cancer
C402,,cancer
C403,,cancer
C404,,cancer
C405,,cancer
C406,,cancer
C407,,cancer
C408,,cancer
C409,,cancer
C410,,cancer
C411,,cancer
C412,,cancer
C413,,cancer
C414,,cancer
C415,,cancer
