icd_codes,description,group
I48,All AF and flutter,Atrial fibrillation / flutter
I480,Paroxysmal AF,Atrial fibrillation / flutter
I481,Persistent AF,Atrial fibrillation / flutter
I482,Chronic AF,Atrial fibrillation / flutter
I483,Typical atrial flutter,Atrial fibrillation / flutter
I484,Atypical atrial flutter,Atrial fibrillation / flutter
I489,Unspecified AF and atrial flutter,Atrial fibrillation / flutter
I495,Sick sinus syndrome,Sick sinus syndrome
I490,Ventricular fibrillation and flutter,Ventricular fibrillation
I491,Atrial premature depolarization,Atrial ectopy
I492,Junctional premature depolarization,Atrial ectopy
I493,Ventricular premature depolarization,Ventricular ectopy
I494,Other and unspecified premature depolarization,Other dysrhythmia
I472,Ventricular tachycardia,Ventricular tachycardia
I499,"Cardiac arrhythmia, unspecified",Other dysrhythmia
I498,Other specified cardiac arrhythmias,Other dysrhythmia
I470,Re-entry ventricular arrhythmia,Supraventricular tachycardia
I471,Supraventricular tachycardia,Supraventricular tachycardia
I472,Ventricular tachycardia,Supraventricular tachycardia
I479,"Paroxysmal tachycardia, unspecified",Supraventricular tachycardia
I44,Atrioventricular and left bundle-branch block,Heart block
I440,"Atrioventricular block, first degree",Heart block
I441,"Atrioventricular block, second degree",Heart block
I442,"Atrioventricular block, complete",Heart block
I443,Other and unspecified atrioventricular block,Heart block
I444,Left anterior fascicular block,Heart block
I445,Left posterior fascicular block,Heart block
I446,Other and unspecified fascicular block,Heart block
I447,"Left bundle-branch block, unspecified",Heart block
I45,Other conduction disorders,Heart block
I450,Right fascicular block,Heart block
I451,Other and unspecified right bundle-branch block,Heart block
I452,Bifascicular block,Heart block
I453,Trifascicular block,Heart block
I454,Nonspecific intraventricular block,Heart block
I455,Other specified heart block,Heart block
I456,Pre-excitation syndrome,Heart block
I458,Other specified conduction disorders,Heart block
I459,"Conduction disorder, unspecified",Heart block
