icd_codes,description,group
I63,All cerebral infarction,ischaemic stroke
I630,Cerebral infarction due to thrombosis of precerebral arteries,ischaemic stroke
I631,Cerebral infarction due to embolism of precerebral arteries,ischaemic stroke
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,ischaemic stroke
I633,Cerebral infarction due to thrombosis of cerebral arteries,ischaemic stroke
I634,Cerebral infarction due to embolism of cerebral arteries,ischaemic stroke
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,ischaemic stroke
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",ischaemic stroke
I638,Other cerebral infarction,ischaemic stroke
I639,"Cerebral infarction, unspecified",ischaemic stroke
I64X,All other strokes / stroke unspecified,"stroke, unspecified"
I64,All other strokes / stroke unspecified,"stroke, unspecified"
G459,TIA,transient ischaemic attack
