icd_codes,description,group
S020,Fracture of vault of skull,trauma
S021,Fracture of base of skull,trauma
S023,Fracture of orbital floor,trauma
S024,Fracture of malar and maxillary bones,trauma
S026,Fracture of mandible,trauma
S027,Multiple fractures involving skull and facial bones,trauma
S028,Fractures of other skull and facial bones,trauma
S051,Contusion of eyeball and orbital tissues,trauma
S052,Ocular laceration and rupture with prolapse or loss of intraocular tissue,trauma
S053,Ocular laceration without prolapse or loss of intraocular tissue,trauma
S054,Penetrating wound of orbit with or without foreign body,trauma
S055,Penetrating wound of eyeball with foreign body,trauma
S056,Penetrating wound of eyeball without foreign body,trauma
S057,Avulsion of eye,trauma
S061,Traumatic cerebral oedema,trauma
S062,Diffuse brain injury,trauma
S063,Focal brain injury,trauma
S07,Crushing injury of head,trauma
S070,Crushing injury of face,trauma
S071,Crushing injury of skull,trauma
S078,Crushing injury of other parts of head,trauma
S079,"Crushing injury of head, part unspecified",trauma
S08,need to review thse ,trauma
S080,need to review thse ,trauma
S081,need to review thse ,trauma
S088,need to review thse ,trauma
S089,need to review thse ,trauma
S09,need to review thse ,trauma
S090,need to review thse ,trauma
S091,need to review thse ,trauma
S097,need to review thse ,trauma
S098,need to review thse ,trauma
S099,need to review thse ,trauma
S10,need to review thse ,trauma
S101,need to review thse ,trauma
S102,need to review thse ,trauma
S103,need to review thse ,trauma
S104,need to review thse ,trauma
S105,need to review thse ,trauma
S106,need to review thse ,trauma
S107,need to review thse ,trauma
S108,need to review thse ,trauma
S109,need to review thse ,trauma
S110,need to review thse ,trauma
S111,need to review thse ,trauma
S112,need to review thse ,trauma
S113,need to review thse ,trauma
S114,need to review thse ,trauma
S115,need to review thse ,trauma
S116,need to review thse ,trauma
S117,need to review thse ,trauma
S118,need to review thse ,trauma
S119,need to review thse ,trauma
S120,need to review thse ,trauma
S121,need to review thse ,trauma
S122,need to review thse ,trauma
S123,need to review thse ,trauma
S124,need to review thse ,trauma
S125,need to review thse ,trauma
S126,need to review thse ,trauma
S127,need to review thse ,trauma
S128,need to review thse ,trauma
S129,need to review thse ,trauma
S130,need to review thse ,trauma
S131,need to review thse ,trauma
S132,need to review thse ,trauma
S133,need to review thse ,trauma
S134,need to review thse ,trauma
S135,need to review thse ,trauma
S136,need to review thse ,trauma
S137,need to review thse ,trauma
S138,need to review thse ,trauma
S139,need to review thse ,trauma
S140,need to review thse ,trauma
S141,need to review thse ,trauma
S142,need to review thse ,trauma
S143,need to review thse ,trauma
S144,need to review thse ,trauma
S145,need to review thse ,trauma
S146,need to review thse ,trauma
S147,need to review thse ,trauma
S148,need to review thse ,trauma
S149,need to review thse ,trauma
S150,need to review thse ,trauma
S151,need to review thse ,trauma
S152,need to review thse ,trauma
S153,need to review thse ,trauma
S154,need to review thse ,trauma
S155,need to review thse ,trauma
S156,need to review thse ,trauma
S157,need to review thse ,trauma
S158,need to review thse ,trauma
S159,need to review thse ,trauma
S160,need to review thse ,trauma
S161,need to review thse ,trauma
S162,need to review thse ,trauma
S163,need to review thse ,trauma
S164,need to review thse ,trauma
S165,need to review thse ,trauma
S166,need to review thse ,trauma
S167,need to review thse ,trauma
S168,need to review thse ,trauma
S169,need to review thse ,trauma
S170,need to review thse ,trauma
S171,need to review thse ,trauma
S172,need to review thse ,trauma
S173,need to review thse ,trauma
S174,need to review thse ,trauma
S175,need to review thse ,trauma
S176,need to review thse ,trauma
S177,need to review thse ,trauma
S178,need to review thse ,trauma
S179,need to review thse ,trauma
S180,need to review thse ,trauma
S181,need to review thse ,trauma
S182,need to review thse ,trauma
S183,need to review thse ,trauma
S184,need to review thse ,trauma
S185,need to review thse ,trauma
S186,need to review thse ,trauma
S187,need to review thse ,trauma
S188,need to review thse ,trauma
S189,need to review thse ,trauma
S190,need to review thse ,trauma
S191,need to review thse ,trauma
S192,need to review thse ,trauma
S193,need to review thse ,trauma
S194,need to review thse ,trauma
S195,need to review thse ,trauma
S196,need to review thse ,trauma
S197,need to review thse ,trauma
S198,need to review thse ,trauma
S199,need to review thse ,trauma
T000,need to review thse ,trauma
T001,need to review thse ,trauma
T002,need to review thse ,trauma
T003,need to review thse ,trauma
T004,need to review thse ,trauma
T005,need to review thse ,trauma
T006,need to review thse ,trauma
T007,need to review thse ,trauma
T008,need to review thse ,trauma
T009,need to review thse ,trauma
T010,need to review thse ,trauma
T011,need to review thse ,trauma
T012,need to review thse ,trauma
T013,need to review thse ,trauma
T014,need to review thse ,trauma
