opcs_codes,description,group
K401,Saphenous vein graft replacement of one coronary artery,cabg
K402,Saphenous vein graft replacement of two coronary arteries,cabg
K403,Saphenous vein graft replacement of three coronary arteries,cabg
K404,Saphenous vein graft replacement of four or more coronary arteries,cabg
K408,Other specified saphenous vein graft replacement of coronary artery,cabg
K409,Unspecified saphenous vein graft replacement of coronary artery,cabg
K411,Autograft replacement of one coronary artery not elsewhere classified,cabg
K412,Autograft replacement of two coronary arteries not elsewhere classified,cabg
K413,Autograft replacement of three coronary arteries not elsewhere classified,cabg
K414,Autograft replacement of four or more coronary arteries not elsewhere classified,cabg
K418,Other specified autograft replacement of coronary artery,cabg
K419,Unspecified other autograft replacement of coronary artery,cabg
K431,Prosthetic replacement of one coronary artery,cabg
K432,Prosthetic replacement of two coronary arteries,cabg
K433,Prosthetic replacement of three coronary arteries,cabg
K434,Prosthetic replacement of four or more coronary arteries,cabg
K438,Other specified prosthetic replacement of coronary artery,cabg
K439,Unspecified prosthetic replacement of coronary artery,cabg
K441,Replacement of coronary arteries using multiple methods,cabg
K442,Revision of replacement of coronary artery,cabg
K448,Other specified other replacement of coronary artery,cabg
K449,Unspecified other replacement of coronary artery,cabg
K451,Double anastomosis of mammary arteries to coronary arteries,cabg
K452,Double anastomosis of thoracic arteries to coronary arteries not elsewhere classified,cabg
K453,Anastomosis of mammary artery to left anterior descending coronary artery,cabg
K454,Anastomosis of mammary artery to coronary artery not elsewhere classified,cabg
K455,Anastomosis of thoracic artery to coronary artery not elsewhere classified,cabg
K456,Revision of connection of thoracic artery to coronary artery,cabg
K457,Other specified connection of thoracic artery to coronary artery,cabg
K458,Unspecified connection of thoracic artery to coronary artery,cabg
K461,Double implantation of mammary arteries into heart,cabg
K462,Double implantation of thoracic arteries into heart not elsewhere classified,cabg
K463,Implantation of mammary artery into heart not elsewhere classified,cabg
K464,Implantation of thoracic artery into heart not elsewhere classified,cabg
K465,Revision of implantation of thoracic artery into heart,cabg
K468,Other specified other bypass of coronary artery,cabg
K469,Unspecified other bypass of coronary artery,cabg
